Year,Country,ISO3,Continent,Ind Code,Industry,Value (LCU),Value (USD)
2010,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,11693.58,3001.2
2010,Argentina,ARG,South America,I,Manufacture of basic metals,20724.81,5319.1
2010,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",42200.83,10831.0
2010,Argentina,ARG,South America,K,Manufacture of transport equipment,19592.93,5028.6
2011,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",117627.27,28618.8
2011,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",32379.27,7877.9
2011,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",6205.9,1509.9
2011,Argentina,ARG,South America,D,Manufacture of paper products and printing,25315.59,6159.3
2011,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,17526.46,4264.2
2011,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,42353.76,10304.7
2011,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,18376.44,4471.0
2011,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,15129.43,3681.0
2011,Argentina,ARG,South America,I,Manufacture of basic metals,25679.74,6247.9
2011,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",58106.28,14137.3
2011,Argentina,ARG,South America,K,Manufacture of transport equipment,25283.53,6151.5
2012,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",142204.17,31343.7
2012,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",36227.39,7985.0
2012,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",6796.32,1498.0
2012,Argentina,ARG,South America,D,Manufacture of paper products and printing,28618.95,6308.0
2012,Argentina,ARG,South America,E,Manufacture of coke and refined petroleum products,23001.33,5069.8
2012,Argentina,ARG,South America,F,Manufacturing of chemicals and pharmaceutical products,51302.24,11307.7
2012,Argentina,ARG,South America,G,Manufacture of rubber and plastics products,22334.85,4922.9
2012,Argentina,ARG,South America,H,Manufacture of other non-metallic mineral products,17298.86,3812.9
2012,Argentina,ARG,South America,I,Manufacture of basic metals,26557.83,5853.7
2012,Argentina,ARG,South America,J,"Manufacture of fabricated metal products, machinery and equipment",66593.06,14678.0
2012,Argentina,ARG,South America,K,Manufacture of transport equipment,27751.95,6116.9
2013,Argentina,ARG,South America,A,"Manufacture of food products, beverages and tobacco products",174878.81,32032.9
2013,Argentina,ARG,South America,B,"Manufacture of textiles, wearing apparel, leather and related products",45658.18,8363.3
2013,Argentina,ARG,South America,C,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",8535.69,1563.5
