Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Value LCU,Value USD
ARG,Argentina,2009,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,29350310000.0,7910900000.0
ARG,Argentina,2009,29-30,Manufacture of transport equipment,Current prices,12797650000.0,3449400000.0
ARG,Argentina,2010,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,89533080000.0,22979000000.0
ARG,Argentina,2010,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,23624050000.0,6063200000.0
ARG,Argentina,2010,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,4746860000.0,1218300000.0
ARG,Argentina,2010,17-18,Manufacture of paper products and printing,Current prices,19266030000.0,4944700000.0
ARG,Argentina,2010,19,Manufacture of coke and refined petroleum products,Current prices,13498730000.0,3464500000.0
ARG,Argentina,2010,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,33763390000.0,8665500000.0
ARG,Argentina,2010,22,Manufacture of rubber and plastics products,Current prices,14105000000.0,3620100000.0
ARG,Argentina,2010,23,Manufacture of other non-metallic mineral products,Current prices,11693580000.0,3001200000.0
ARG,Argentina,2010,24,Manufacture of basic metals,Current prices,20724810000.0,5319100000.0
ARG,Argentina,2010,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,42200830000.0,10831000000.0
ARG,Argentina,2010,29-30,Manufacture of transport equipment,Current prices,19592930000.0,5028600000.0
ARG,Argentina,2011,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,117627270000.0,28618800000.0
ARG,Argentina,2011,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,32379270000.0,7877900000.0
ARG,Argentina,2011,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,6205900000.0,1509900000.0
ARG,Argentina,2011,17-18,Manufacture of paper products and printing,Current prices,25315590000.0,6159300000.0
ARG,Argentina,2011,19,Manufacture of coke and refined petroleum products,Current prices,17526460000.0,4264200000.0
