Country ISO3,Country,Year,ISIC Division,ISIC Division Desc,Measure,Method,Value LCU (million national currency),Value USD (million USD)
,ASEAN,2015,29-30,Manufacture of transport equipment,Current prices,Source,0,46570.2
,ASEAN,2016,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,123015
,ASEAN,2016,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,57871.5
,ASEAN,2016,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,10322
,ASEAN,2016,17-18,Manufacture of paper products and printing,Current prices,Source,0,16956
,ASEAN,2016,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,45381.4
,ASEAN,2016,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,58410
,ASEAN,2016,22,Manufacture of rubber and plastics products,Current prices,Source,0,17992.2
,ASEAN,2016,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,19277
,ASEAN,2016,24,Manufacture of basic metals,Current prices,Source,0,17280.8
,ASEAN,2016,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,128378.7
,ASEAN,2016,29-30,Manufacture of transport equipment,Current prices,Source,0,48879.8
,ASEAN,2017,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,131541.8
,ASEAN,2017,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,64286.4
,ASEAN,2017,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,10816.9
,ASEAN,2017,17-18,Manufacture of paper products and printing,Current prices,Source,0,18225
,ASEAN,2017,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,48192.9
,ASEAN,2017,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,62502.8
,ASEAN,2017,22,Manufacture of rubber and plastics products,Current prices,Source,0,19546.1
,ASEAN,2017,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,20503.3
,ASEAN,2017,24,Manufacture of basic metals,Current prices,Source,0,18665.6
,ASEAN,2017,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,138434
,ASEAN,2017,29-30,Manufacture of transport equipment,Current prices,Source,0,52853.5
,ASEAN,2018,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,0,138562.8
,ASEAN,2018,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,0,68653
,ASEAN,2018,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,0,11090.6
,ASEAN,2018,17-18,Manufacture of paper products and printing,Current prices,Source,0,19366.4
,ASEAN,2018,19,Manufacture of coke and refined petroleum products,Current prices,Source,0,50804.7
,ASEAN,2018,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,0,66780.3
,ASEAN,2018,22,Manufacture of rubber and plastics products,Current prices,Source,0,21171.6
,ASEAN,2018,23,Manufacture of other non-metallic mineral products,Current prices,Source,0,21868.7
,ASEAN,2018,24,Manufacture of basic metals,Current prices,Source,0,19817
,ASEAN,2018,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,0,149755.2
,ASEAN,2018,29-30,Manufacture of transport equipment,Current prices,Source,0,56235.7
ARG,Argentina,2000,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,16986.1,16994.6
ARG,Argentina,2000,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,5944.13,5947.1
ARG,Argentina,2000,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,1551.72,1552.5
ARG,Argentina,2000,17-18,Manufacture of paper products and printing,Current prices,Source,4567.81,4570.1
ARG,Argentina,2000,19,Manufacture of coke and refined petroleum products,Current prices,Source,2938.13,2939.6
ARG,Argentina,2000,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,8478.06,8482.3
ARG,Argentina,2000,22,Manufacture of rubber and plastics products,Current prices,Source,3268.66,3270.3
ARG,Argentina,2000,23,Manufacture of other non-metallic mineral products,Current prices,Source,2379.01,2380.2
ARG,Argentina,2000,24,Manufacture of basic metals,Current prices,Source,5799.7,5802.6
ARG,Argentina,2000,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,8520.04,8524.3
ARG,Argentina,2000,29-30,Manufacture of transport equipment,Current prices,Source,3192.8,3194.4
ARG,Argentina,2001,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,16172.71,16180.8
ARG,Argentina,2001,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,5658.27,5661.1
ARG,Argentina,2001,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,1473.76,1474.5
ARG,Argentina,2001,17-18,Manufacture of paper products and printing,Current prices,Source,4344.93,4347.1
ARG,Argentina,2001,19,Manufacture of coke and refined petroleum products,Current prices,Source,2812.79,2814.2
ARG,Argentina,2001,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,8061.47,8065.5
ARG,Argentina,2001,22,Manufacture of rubber and plastics products,Current prices,Source,3098.85,3100.4
ARG,Argentina,2001,23,Manufacture of other non-metallic mineral products,Current prices,Source,2264.57,2265.7
ARG,Argentina,2001,24,Manufacture of basic metals,Current prices,Source,5531.13,5533.9
ARG,Argentina,2001,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,8098.05,8102.1
ARG,Argentina,2001,29-30,Manufacture of transport equipment,Current prices,Source,3031.68,3033.2
ARG,Argentina,2002,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,19191.63,6265.1
ARG,Argentina,2002,13-15,"Manufacture of textiles, wearing apparel, leather and related products",Current prices,Source,6670.25,2177.5
ARG,Argentina,2002,16,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials",Current prices,Source,1732.89,565.7
ARG,Argentina,2002,17-18,Manufacture of paper products and printing,Current prices,Source,5104.92,1666.5
ARG,Argentina,2002,19,Manufacture of coke and refined petroleum products,Current prices,Source,3468.53,1132.3
ARG,Argentina,2002,20-21,Manufacturing of chemicals and pharmaceutical products,Current prices,Source,9464.25,3089.6
ARG,Argentina,2002,22,Manufacture of rubber and plastics products,Current prices,Source,3637.31,1187.4
ARG,Argentina,2002,23,Manufacture of other non-metallic mineral products,Current prices,Source,2665.04,870
ARG,Argentina,2002,24,Manufacture of basic metals,Current prices,Source,6536.69,2133.9
ARG,Argentina,2002,25-28,"Manufacture of fabricated metal products, machinery and equipment",Current prices,Source,9529.8,3111
ARG,Argentina,2002,29-30,Manufacture of transport equipment,Current prices,Source,3615.57,1180.3
ARG,Argentina,2003,10-12,"Manufacture of food products, beverages and tobacco products",Current prices,Source,23198.95,7997.9
